Fecha,Reserva
01/01/2012,13.18
02/01/2012,13.18
03/01/2012,13.18
06/01/2012,13.18
07/01/2012,12.79
09/01/2012,12.79
12/01/2012,12.73
13/01/2012,12.73
15/01/2012,12.73
17/01/2012,12.79
19/01/2012,12.79
21/01/2012,12.82
22/01/2012,12.82
24/01/2012,12.82
26/01/2012,12.82
28/01/2012,12.84
29/01/2012,12.84
01/02/2012,12.84
03/02/2012,12.79
04/02/2012,12.68
06/02/2012,12.79
07/02/2012,12.68
09/02/2012,12.65
11/02/2012,12.65
13/02/2012,12.59
15/02/2012,12.59
17/02/2012,12.65
18/02/2012,12.62
21/02/2012,12.65
22/02/2012,12.87
24/02/2012,13.55
26/02/2012,13.21
27/02/2012,13.21
01/03/2012,13.21
02/03/2012,13.18
04/03/2012,13.16
07/03/2012,13.1
08/03/2012,12.96
10/03/2012,12.9
12/03/2012,13.01
13/03/2012,13.01
16/03/2012,12.93
17/03/2012,12.87
19/03/2012,12.84
21/03/2012,12.9
22/03/2012,13.16
24/03/2012,13.13
27/03/2012,13.04
28/03/2012,13.16
30/03/2012,13.13
01/04/2012,13.18
03/04/2012,13.35
04/04/2012,13.44
06/04/2012,13.47
08/04/2012,13.47
10/04/2012,13.49
11/04/2012,13.49
14/04/2012,13.49
16/04/2012,13.55
18/04/2012,13.55
19/04/2012,13.49
21/04/2012,13.47
23/04/2012,13.41
24/04/2012,13.35
26/04/2012,13.3
28/04/2012,13.32
30/04/2012,13.35
02/05/2012,13.32
04/05/2012,13.32
06/05/2012,13.75
07/05/2012,13.78
09/05/2012,13.78
11/05/2012,13.72
13/05/2012,13.66
14/05/2012,13.64
17/05/2012,13.64
19/05/2012,13.61
21/05/2012,13.61
22/05/2012,13.61
24/05/2012,13.75
25/05/2012,13.78
28/05/2012,13.78
30/05/2012,13.77
31/05/2012,13.86
03/06/2012,13.98
04/06/2012,13.98
05/06/2012,14.0
08/06/2012,13.98
09/06/2012,13.98
12/06/2012,14.06
13/06/2012,14.06
15/06/2012,14.03
17/06/2012,14.03
19/06/2012,13.86
20/06/2012,13.86
23/06/2012,13.81
25/06/2012,13.81
26/06/2012,13.83
28/06/2012,13.78
29/06/2012,13.64
01/07/2012,13.81
04/07/2012,13.75
06/07/2012,13.75
07/07/2012,13.83
09/07/2012,14.0
10/07/2012,13.98
13/07/2012,13.83
15/07/2012,13.69
17/07/2012,13.61
18/07/2012,13.66
20/07/2012,13.8
22/07/2012,13.69
23/07/2012,13.6
25/07/2012,14.0
27/07/2012,14.03
29/07/2012,14.03
30/07/2012,14.03
02/08/2012,14.12
04/08/2012,13.95
05/08/2012,13.92
07/08/2012,13.89
09/08/2012,13.95
11/08/2012,13.98
13/08/2012,13.98
14/08/2012,13.98
17/08/2012,13.89
19/08/2012,13.81
20/08/2012,13.81
21/08/2012,13.78
23/08/2012,13.75
26/08/2012,13.75
28/08/2012,13.64
30/08/2012,13.49
31/08/2012,13.47
02/09/2012,13.41
04/09/2012,13.38
05/09/2012,13.21
07/09/2012,13.3
09/09/2012,13.21
11/09/2012,13.16
12/09/2012,13.1
14/09/2012,13.1
16/09/2012,13.18
18/09/2012,13.27
20/09/2012,13.3
22/09/2012,13.21
24/09/2012,13.19
26/09/2012,13.16
28/09/2012,13.3
29/09/2012,13.32
02/10/2012,13.32
03/10/2012,13.3
05/10/2012,13.27
07/10/2012,13.27
08/10/2012,13.24
11/10/2012,13.18
13/10/2012,13.16
14/10/2012,13.13
16/10/2012,13.1
18/10/2012,13.04
19/10/2012,13.01
21/10/2012,13.04
24/10/2012,13.01
25/10/2012,13.04
27/10/2012,13.21
28/10/2012,13.21
30/10/2012,13.21
02/11/2012,13.21
03/11/2012,13.27
05/11/2012,13.58
07/11/2012,13.66
09/11/2012,14.0
10/11/2012,13.92
13/11/2012,14.06
14/11/2012,13.86
16/11/2012,13.66
18/11/2012,13.83
19/11/2012,13.86
21/11/2012,13.44
23/11/2012,13.35
25/11/2012,13.35
27/11/2012,13.35
29/11/2012,13.01
30/11/2012,12.97
02/12/2012,12.79
05/12/2012,12.79
07/12/2012,12.22
08/12/2012,12.23
09/12/2012,12.26
11/12/2012,12.26
13/12/2012,12.26
16/12/2012,12.26
18/12/2012,12.34
19/12/2012,12.06
20/12/2012,11.95
22/12/2012,12.15
24/12/2012,12.15
26/12/2012,12.17
29/12/2012,12.45
30/12/2012,12.45
