Fecha,Reserva
01/01/2019,125.19
02/01/2019,125.34
03/01/2019,125.34
06/01/2019,125.8
08/01/2019,125.96
09/01/2019,125.8
11/01/2019,124.26
12/01/2019,124.11
14/01/2019,124.41
16/01/2019,124.57
18/01/2019,124.41
21/01/2019,124.72
22/01/2019,124.11
24/01/2019,123.03
25/01/2019,122.58
27/01/2019,122.58
29/01/2019,122.88
01/02/2019,122.42
02/02/2019,126.58
03/02/2019,126.58
05/02/2019,125.49
08/02/2019,124.11
09/02/2019,124.26
12/02/2019,125.03
13/02/2019,125.03
14/02/2019,125.03
16/02/2019,124.26
19/02/2019,122.42
20/02/2019,121.66
22/02/2019,121.66
24/02/2019,121.51
26/02/2019,121.36
27/02/2019,121.51
01/03/2019,120.91
03/03/2019,121.06
05/03/2019,121.06
07/03/2019,121.06
08/03/2019,121.06
11/03/2019,121.51
13/03/2019,121.36
15/03/2019,120.45
16/03/2019,120.6
18/03/2019,120.6
19/03/2019,120.45
21/03/2019,119.55
24/03/2019,119.4
25/03/2019,119.4
27/03/2019,118.35
29/03/2019,117.91
31/03/2019,117.91
02/04/2019,117.76
04/04/2019,117.16
05/04/2019,117.16
07/04/2019,117.61
09/04/2019,118.06
10/04/2019,117.91
12/04/2019,118.06
14/04/2019,117.91
17/04/2019,116.87
18/04/2019,116.72
20/04/2019,117.16
21/04/2019,117.61
23/04/2019,117.76
25/04/2019,117.61
27/04/2019,117.91
29/04/2019,118.06
30/04/2019,117.76
02/05/2019,116.87
05/05/2019,116.72
07/05/2019,116.28
08/05/2019,115.25
10/05/2019,113.93
12/05/2019,114.07
13/05/2019,114.07
16/05/2019,111.89
17/05/2019,111.17
19/05/2019,110.31
20/05/2019,110.02
23/05/2019,108.31
24/05/2019,107.74
27/05/2019,107.03
29/05/2019,106.04
30/05/2019,105.34
31/05/2019,104.64
03/06/2019,102.97
05/06/2019,101.59
07/06/2019,100.08
09/06/2019,99.13
10/06/2019,98.86
12/06/2019,97.5
14/06/2019,96.16
16/06/2019,95.36
18/06/2019,94.29
19/06/2019,93.76
21/06/2019,92.44
22/06/2019,91.92
25/06/2019,90.36
27/06/2019,89.2
28/06/2019,88.56
01/07/2019,87.41
02/07/2019,86.9
04/07/2019,85.77
05/07/2019,85.26
08/07/2019,84.02
10/07/2019,83.03
11/07/2019,82.42
13/07/2019,81.32
15/07/2019,80.72
16/07/2019,80.0
18/07/2019,78.8
21/07/2019,77.15
22/07/2019,76.8
23/07/2019,76.45
25/07/2019,75.06
28/07/2019,73.35
29/07/2019,73.35
31/07/2019,71.34
02/08/2019,70.13
04/08/2019,69.04
05/08/2019,68.71
08/08/2019,67.11
09/08/2019,66.26
12/08/2019,64.8
13/08/2019,64.18
15/08/2019,63.26
16/08/2019,62.45
19/08/2019,61.45
20/08/2019,60.85
23/08/2019,58.8
24/08/2019,58.22
26/08/2019,56.99
27/08/2019,56.52
30/08/2019,54.85
31/08/2019,54.39
02/09/2019,53.75
03/09/2019,53.66
06/09/2019,53.03
08/09/2019,53.21
09/09/2019,53.59
11/09/2019,53.57
13/09/2019,53.57
15/09/2019,53.84
16/09/2019,53.84
18/09/2019,53.66
21/09/2019,53.57
23/09/2019,53.12
24/09/2019,53.03
25/09/2019,53.03
27/09/2019,52.76
30/09/2019,52.5
01/10/2019,52.41
04/10/2019,51.35
05/10/2019,51.09
07/10/2019,50.91
09/10/2019,50.4
11/10/2019,49.88
12/10/2019,49.62
14/10/2019,49.45
16/10/2019,49.79
18/10/2019,49.88
20/10/2019,50.22
22/10/2019,50.4
24/10/2019,50.74
25/10/2019,50.74
27/10/2019,50.91
28/10/2019,51.0
31/10/2019,50.57
01/11/2019,50.57
04/11/2019,50.57
05/11/2019,50.48
07/11/2019,50.31
09/11/2019,50.31
11/11/2019,50.31
12/11/2019,50.14
15/11/2019,49.88
16/11/2019,49.97
17/11/2019,50.05
19/11/2019,50.31
22/11/2019,50.57
23/11/2019,51.0
25/11/2019,51.17
27/11/2019,51.44
28/11/2019,51.52
01/12/2019,51.61
03/12/2019,51.7
05/12/2019,51.88
06/12/2019,51.88
08/12/2019,51.96
10/12/2019,52.05
12/12/2019,51.79
14/12/2019,51.79
15/12/2019,51.88
18/12/2019,51.96
19/12/2019,52.23
21/12/2019,54.39
22/12/2019,58.9
24/12/2019,61.25
27/12/2019,62.25
28/12/2019,62.45
30/12/2019,62.66
